"","year","from","to","points","contig","comlang_off","colony","dist","rank","from_number","to_number"
"44",1975,"Belgium","Spain",4,0,0,0,1316.64,7,8,1
"45",1975,"Belgium","Sweden",0,0,0,0,1283.716,11,8,6
"46",1975,"Belgium","Switzerland",8,0,1,0,487.4555,3,8,10
"47",1975,"Belgium","The Netherlands",3,1,1,0,173.0333,8,8,11
"48",1975,"Belgium","Turkey",0,0,0,0,2179.392,11,8,15
"49",1975,"Belgium","United Kingdom",10,0,0,0,323.7796,2,8,2
"51",1975,"Croatia","Austria",-2,0,0,1,270.6798,-1,22,16
"52",1975,"Croatia","Belgium",-2,0,0,0,1024.412,-1,22,8
"53",1975,"Croatia","Croatia",-2,0,0,0,89.43428,-1,22,22
"54",1975,"Croatia","Cyprus",-2,0,0,0,1882.583,-1,22,18
"55",1975,"Croatia","Denmark",-2,0,0,0,1123.37,-1,22,17
"56",1975,"Croatia","Estonia",-2,0,0,0,1624.37,-1,22,24
"57",1975,"Croatia","Finland",-2,0,0,0,1702.673,-1,22,12
"58",1975,"Croatia","France",-2,0,0,0,1081.762,-1,22,3
"59",1975,"Croatia","Germany",-2,0,0,0,912.2662,-1,22,4
"60",1975,"Croatia","Greece",-2,0,0,0,1079.422,-1,22,14
"61",1975,"Croatia","Iceland",-2,0,0,0,3089.354,-1,22,19
"62",1975,"Croatia","Ireland",-2,0,0,0,1799.206,-1,22,7
"63",1975,"Croatia","Israel",-2,0,0,0,2220.875,-1,22,13
"64",1975,"Croatia","Italy",-2,0,0,0,517.0557,-1,22,21
"65",1975,"Croatia","Malta",-2,0,0,0,1108.396,-1,22,20
"66",1975,"Croatia","Norway",-2,0,0,0,1608.583,-1,22,5
"67",1975,"Croatia","Portugal",-2,0,0,0,2200.561,-1,22,9
"68",1975,"Croatia","Slovenia",-2,1,0,0,117.3451,-1,22,23
"69",1975,"Croatia","Spain",-2,0,0,0,1702.46,-1,22,1
"70",1975,"Croatia","Sweden",-2,0,0,0,1512.846,-1,22,6
"71",1975,"Croatia","Switzerland",-2,0,0,0,667.2937,-1,22,10
"72",1975,"Croatia","The Netherlands",-2,0,0,0,1085.255,-1,22,11
"73",1975,"Croatia","Turkey",-2,0,0,0,1174.147,-1,22,15
"74",1975,"Croatia","United Kingdom",-2,0,0,0,1341.216,-1,22,2
"76",1975,"Cyprus","Austria",-2,0,0,0,2017.949,-1,18,16
"77",1975,"Cyprus","Belgium",-2,0,0,0,2904.975,-1,18,8
"78",1975,"Cyprus","Croatia",-2,0,0,0,1882.583,-1,18,22
"79",1975,"Cyprus","Cyprus",-2,0,0,0,36.17663,-1,18,18
"80",1975,"Cyprus","Denmark",-2,0,0,0,2777.919,-1,18,17
"81",1975,"Cyprus","Estonia",-2,0,0,0,2772.545,-1,18,24
"82",1975,"Cyprus","Finland",-2,0,0,0,2845.096,-1,18,12
"83",1975,"Cyprus","France",-2,0,0,0,2954.551,-1,18,3
"84",1975,"Cyprus","Germany",-2,0,0,0,2776.08,-1,18,4
"85",1975,"Cyprus","Greece",-2,0,1,1,915.6595,-1,18,14
"86",1975,"Cyprus","Iceland",-2,0,0,0,4882.096,-1,18,19
"87",1975,"Cyprus","Ireland",-2,0,0,0,3680.572,-1,18,7
"88",1975,"Cyprus","Israel",-2,0,0,0,365.6896,-1,18,13
"89",1975,"Cyprus","Italy",-2,0,0,0,1957.84,-1,18,21
"90",1975,"Cyprus","Malta",-2,0,0,0,1703.866,-1,18,20
"91",1975,"Cyprus","Norway",-2,0,0,0,3202.21,-1,18,5
"92",1975,"Cyprus","Portugal",-2,0,0,0,3766.31,-1,18,9
"93",1975,"Cyprus","Slovenia",-2,0,0,0,1994.669,-1,18,23
"94",1975,"Cyprus","Spain",-2,0,0,0,3288.066,-1,18,1
"95",1975,"Cyprus","Sweden",-2,0,0,0,2912.221,-1,18,6
"96",1975,"Cyprus","Switzerland",-2,0,0,0,2523.252,-1,18,10
"97",1975,"Cyprus","The Netherlands",-2,0,0,0,2949.04,-1,18,11
"98",1975,"Cyprus","Turkey",-2,0,1,1,759.5555,-1,18,15
"99",1975,"Cyprus","United Kingdom",-2,0,0,1,3223.638,-1,18,2
"101",1975,"Denmark","Austria",-2,0,0,0,868.5304,-1,17,16
"102",1975,"Denmark","Belgium",-2,0,0,0,767.1575,-1,17,8
"103",1975,"Denmark","Croatia",-2,0,0,0,1123.37,-1,17,22
"104",1975,"Denmark","Cyprus",-2,0,0,0,2777.919,-1,17,18
"105",1975,"Denmark","Denmark",-2,0,0,0,78.08043,-1,17,17
"106",1975,"Denmark","Estonia",-2,0,0,0,836.2802,-1,17,24
"107",1975,"Denmark","Finland",-2,0,0,0,884.6371,-1,17,12
"108",1975,"Denmark","France",-2,0,0,0,1027.609,-1,17,3
"109",1975,"Denmark","Germany",-2,1,0,0,595.8536,-1,17,4
"110",1975,"Denmark","Greece",-2,0,0,0,2135.535,-1,17,14
"111",1975,"Denmark","Iceland",-2,0,0,1,2111.384,-1,17,19
"112",1975,"Denmark","Ireland",-2,0,0,0,1240.498,-1,17,7
"113",1975,"Denmark","Israel",-2,0,0,0,3141.281,-1,17,13
"114",1975,"Denmark","Italy",-2,0,0,0,1534.086,-1,17,21
"115",1975,"Denmark","Malta",-2,0,0,0,2204.997,-1,17,20
"116",1975,"Denmark","Norway",-2,0,0,0,485.3148,-1,17,5
"117",1975,"Denmark","Portugal",-2,0,0,0,2478.47,-1,17,9
"118",1975,"Denmark","Slovenia",-2,0,0,0,1076.812,-1,17,23
"119",1975,"Denmark","Spain",-2,0,0,0,2074.977,-1,17,1
"120",1975,"Denmark","Sweden",-2,0,0,0,523.7871,-1,17,6
"121",1975,"Denmark","Switzerland",-2,0,0,0,1033.508,-1,17,10
"122",1975,"Denmark","The Netherlands",-2,0,0,0,622.9741,-1,17,11
"123",1975,"Denmark","Turkey",-2,0,0,0,2018.479,-1,17,15
"124",1975,"Denmark","United Kingdom",-2,0,0,0,959.5936,-1,17,2
"126",1975,"Estonia","Austria",-2,0,0,0,1360.358,-1,24,16
"127",1975,"Estonia","Belgium",-2,0,0,0,1601.098,-1,24,8
"128",1975,"Estonia","Croatia",-2,0,0,0,1624.37,-1,24,22
"129",1975,"Estonia","Cyprus",-2,0,0,0,2772.545,-1,24,18
"130",1975,"Estonia","Denmark",-2,0,0,0,836.2802,-1,24,17
"131",1975,"Estonia","Estonia",-2,0,0,0,79.98945,-1,24,24
"132",1975,"Estonia","Finland",-2,0,0,0,80.98481,-1,24,12
"133",1975,"Estonia","France",-2,0,0,0,1859.091,-1,24,3
"134",1975,"Estonia","Germany",-2,0,0,0,1421.076,-1,24,4
"135",1975,"Estonia","Greece",-2,0,0,0,2384.76,-1,24,14
"136",1975,"Estonia","Iceland",-2,0,0,0,2454.359,-1,24,19
"137",1975,"Estonia","Ireland",-2,0,0,0,2005.127,-1,24,7
"138",1975,"Estonia","Israel",-2,0,0,0,3132.21,-1,24,13
"139",1975,"Estonia","Italy",-2,0,0,0,2126.436,-1,24,21
"140",1975,"Estonia","Malta",-2,0,0,0,2719.935,-1,24,20
"141",1975,"Estonia","Norway",-2,0,0,0,787.4166,-1,24,5
"142",1975,"Estonia","Portugal",-2,0,0,0,3311.847,-1,24,9
"143",1975,"Estonia","Slovenia",-2,0,0,0,1634.182,-1,24,23
"144",1975,"Estonia","Spain",-2,0,0,0,2895.384,-1,24,1
"145",1975,"Estonia","Sweden",-2,0,0,1,377.9402,-1,24,6
"146",1975,"Estonia","Switzerland",-2,0,0,0,1794.213,-1,24,10
"147",1975,"Estonia","The Netherlands",-2,0,0,0,1459.083,-1,24,11
"148",1975,"Estonia","Turkey",-2,0,0,0,2066.79,-1,24,15
"149",1975,"Estonia","United Kingdom",-2,0,0,0,1787.092,-1,24,2
"151",1975,"Finland","Austria",0,0,0,0,1437.813,11,12,16
"152",1975,"Finland","Belgium",0,0,0,0,1651.582,11,12,8
"153",1975,"Finland","Croatia",0,0,0,0,1702.673,11,12,22
"154",1975,"Finland","Cyprus",0,0,0,0,2845.096,11,12,18
"155",1975,"Finland","Denmark",0,0,0,0,884.6371,11,12,17
"156",1975,"Finland","Estonia",0,0,0,0,80.98481,11,12,24
"157",1975,"Finland","Finland",-1,0,0,0,218.2159,-1,12,12
"158",1975,"Finland","France",0,0,0,0,1911.138,11,12,3
"159",1975,"Finland","Germany",0,0,0,0,1474.956,11,12,4
"160",1975,"Finland","Greece",0,0,0,0,2465.045,11,12,14
"161",1975,"Finland","Iceland",0,0,0,0,2424.555,11,12,19
"162",1975,"Finland","Ireland",1,0,0,0,2028.749,10,12,7
"163",1975,"Finland","Israel",3,0,0,0,3203.884,8,12,13
"164",1975,"Finland","Italy",12,0,0,0,2203.158,1,12,21
"165",1975,"Finland","Malta",0,0,0,0,2799.607,11,12,20
"166",1975,"Finland","Norway",0,1,0,0,791.2361,11,12,5
"167",1975,"Finland","Portugal",0,0,0,0,3362.978,11,12,9
"168",1975,"Finland","Slovenia",0,0,0,0,1710.822,11,12,23
"169",1975,"Finland","Spain",8,0,0,0,2952.195,3,12,1
"170",1975,"Finland","Sweden",6,1,1,1,397.8922,5,12,6
"171",1975,"Finland","Switzerland",4,0,0,0,1859.36,7,12,10
"172",1975,"Finland","The Netherlands",10,0,0,0,1505.523,2,12,11
"173",1975,"Finland","Turkey",0,0,0,0,2143.137,11,12,15
"174",1975,"Finland","United Kingdom",7,0,0,0,1826.928,4,12,2
"176",1975,"France","Austria",0,0,0,0,1035.144,11,3,16
"177",1975,"France","Belgium",0,1,1,0,262.3845,11,3,8
"178",1975,"France","Croatia",0,0,0,0,1081.762,11,3,22
"179",1975,"France","Cyprus",0,0,0,0,2954.551,11,3,18
"180",1975,"France","Denmark",0,0,0,0,1027.609,11,3,17
"181",1975,"France","Estonia",0,0,0,0,1859.091,11,3,24
"182",1975,"France","Finland",0,0,0,0,1911.138,11,3,12
"183",1975,"France","France",-1,0,0,0,278.1876,-1,3,3
"184",1975,"France","Germany",0,1,0,0,439.8984,11,3,4
"185",1975,"France","Greece",0,0,0,0,2098.726,11,3,14
"186",1975,"France","Iceland",0,0,0,0,2234.723,11,3,19
"187",1975,"France","Ireland",6,0,0,0,778.2031,5,3,7
"188",1975,"France","Israel",1,0,0,0,3281.899,10,3,13
"189",1975,"France","Italy",4,1,0,0,1109.901,7,3,21
"190",1975,"France","Malta",8,0,0,0,1752.693,3,3,20
"191",1975,"France","Norway",0,0,0,0,1342.89,11,3,5
"192",1975,"France","Portugal",2,0,0,0,1452.86,9,3,9
"193",1975,"France","Slovenia",0,0,0,0,965.7366,11,3,23
"194",1975,"France","Spain",0,1,0,0,1054.656,11,3,1
"195",1975,"France","Sweden",7,0,0,0,1545.797,4,3,6
"196",1975,"France","Switzerland",10,1,1,0,436.0778,2,3,10
"197",1975,"France","The Netherlands",5,0,0,0,427.9169,6,3,11
"198",1975,"France","Turkey",0,0,0,0,2255.81,11,3,15
"199",1975,"France","United Kingdom",12,0,0,0,342.9475,1,3,2
"201",1975,"Germany","Austria",0,1,1,0,763.7314,11,4,16
"202",1975,"Germany","Belgium",7,1,1,0,196.8761,4,4,8
"203",1975,"Germany","Croatia",0,0,0,0,912.2662,11,4,22
"204",1975,"Germany","Cyprus",0,0,0,0,2776.08,11,4,18
"205",1975,"Germany","Denmark",0,1,0,0,595.8536,11,4,17
"206",1975,"Germany","Estonia",0,0,0,0,1421.076,11,4,24
"207",1975,"Germany","Finland",12,0,0,0,1474.956,1,4,12
"208",1975,"Germany","France",0,1,0,0,439.8984,11,4,3
"209",1975,"Germany","Germany",-1,0,0,0,224.8358,-1,4,4
"210",1975,"Germany","Greece",0,0,0,0,1990.582,11,4,14
"211",1975,"Germany","Iceland",0,0,0,0,2189.024,11,4,19
"212",1975,"Germany","Ireland",0,0,0,0,920.8693,11,4,7
"213",1975,"Germany","Israel",1,0,0,0,3122.905,10,4,13
"214",1975,"Germany","Italy",4,0,0,0,1146.023,7,4,21
"215",1975,"Germany","Malta",0,0,0,0,1833.687,11,4,20
"216",1975,"Germany","Norway",0,0,0,0,969.2816,11,4,5
"217",1975,"Germany","Portugal",0,0,0,0,1892.032,11,4,9
"218",1975,"Germany","Slovenia",0,0,0,0,814.8665,11,4,23
"219",1975,"Germany","Spain",5,0,0,0,1479.332,6,4,1
"220",1975,"Germany","Sweden",0,0,0,0,1118.929,11,4,6
"221",1975,"Germany","Switzerland",6,1,1,0,503.8007,5,4,10
"222",1975,"Germany","The Netherlands",8,1,0,0,173.5239,3,4,11
"223",1975,"Germany","Turkey",0,0,0,0,2038.332,11,4,15
"224",1975,"Germany","United Kingdom",10,0,0,0,495.3633,2,4,2
"226",1975,"Greece","Austria",-2,0,0,0,1283.6,-1,14,16
"227",1975,"Greece","Belgium",-2,0,0,0,2089.225,-1,14,8
"228",1975,"Greece","Croatia",-2,0,0,0,1079.422,-1,14,22
"229",1975,"Greece","Cyprus",-2,0,1,1,915.6595,-1,14,18
"230",1975,"Greece","Denmark",-2,0,0,0,2135.535,-1,14,17
"231",1975,"Greece","Estonia",-2,0,0,0,2384.76,-1,14,24
"232",1975,"Greece","Finland",-2,0,0,0,2465.045,-1,14,12
"233",1975,"Greece","France",-2,0,0,0,2098.726,-1,14,3
"234",1975,"Greece","Germany",-2,0,0,0,1990.582,-1,14,4
"235",1975,"Greece","Greece",-2,0,0,0,136.4572,-1,14,14
"236",1975,"Greece","Iceland",-2,0,0,0,4166.699,-1,14,19
"237",1975,"Greece","Ireland",-2,0,0,0,2855.222,-1,14,7
"238",1975,"Greece","Israel",-2,0,0,0,1200.514,-1,14,13
"239",1975,"Greece","Italy",-2,0,0,0,1050.411,-1,14,21
"240",1975,"Greece","Malta",-2,0,0,0,850.6025,-1,14,20
"241",1975,"Greece","Norway",-2,0,0,0,2606.405,-1,14,5
"242",1975,"Greece","Portugal",-2,0,0,0,2853.773,-1,14,9
"243",1975,"Greece","Slovenia",-2,0,0,0,1176.784,-1,14,23
"244",1975,"Greece","Spain",-2,0,0,0,2372.903,-1,14,1
"245",1975,"Greece","Sweden",-2,0,0,0,2408.377,-1,14,6
"246",1975,"Greece","Switzerland",-2,0,0,0,1662.651,-1,14,10
"247",1975,"Greece","The Netherlands",-2,0,0,0,2162.912,-1,14,11
"248",1975,"Greece","Turkey",-2,1,0,1,560.7139,-1,14,15
"249",1975,"Greece","United Kingdom",-2,0,0,0,2394.85,-1,14,2
"251",1975,"Iceland","Austria",-2,0,0,0,2891.521,-1,19,16
"252",1975,"Iceland","Belgium",-2,0,0,0,2133.168,-1,19,8
"253",1975,"Iceland","Croatia",-2,0,0,0,3089.354,-1,19,22
"254",1975,"Iceland","Cyprus",-2,0,0,0,4882.096,-1,19,18
"255",1975,"Iceland","Denmark",-2,0,0,1,2111.384,-1,19,17
"256",1975,"Iceland","Estonia",-2,0,0,0,2454.359,-1,19,24
"257",1975,"Iceland","Finland",-2,0,0,0,2424.555,-1,19,12
"258",1975,"Iceland","France",-2,0,0,0,2234.723,-1,19,3
"259",1975,"Iceland","Germany",-2,0,0,0,2189.024,-1,19,4
"260",1975,"Iceland","Greece",-2,0,0,0,4166.699,-1,19,14
"261",1975,"Iceland","Iceland",-2,0,0,0,120.6064,-1,19,19
"262",1975,"Iceland","Ireland",-2,0,0,0,1499.031,-1,19,7
"263",1975,"Iceland","Israel",-2,0,0,0,5242.824,-1,19,13
"264",1975,"Iceland","Italy",-2,0,0,0,3307.978,-1,19,21
"265",1975,"Iceland","Malta",-2,0,0,0,3978.502,-1,19,20
"266",1975,"Iceland","Norway",-2,0,0,0,1749.596,-1,19,5
"267",1975,"Iceland","Portugal",-2,0,0,0,2952.572,-1,19,9
"268",1975,"Iceland","Slovenia",-2,0,0,0,2999.913,-1,19,23
"269",1975,"Iceland","Spain",-2,0,0,0,2894.701,-1,19,1
"270",1975,"Iceland","Sweden",-2,0,0,0,2138.135,-1,19,6
"271",1975,"Iceland","Switzerland",-2,0,0,0,2617.349,-1,19,10
"272",1975,"Iceland","The Netherlands",-2,0,0,0,2022.635,-1,19,11
"273",1975,"Iceland","Turkey",-2,0,0,0,4123.079,-1,19,15
"274",1975,"Iceland","United Kingdom",-2,0,0,0,1891.859,-1,19,2
"276",1975,"Ireland","Austria",0,0,0,0,1681.996,11,7,16
"277",1975,"Ireland","Belgium",0,0,0,0,775.6281,11,7,8
"278",1975,"Ireland","Croatia",0,0,0,0,1799.206,11,7,22
"279",1975,"Ireland","Cyprus",0,0,0,0,3680.572,11,7,18
"280",1975,"Ireland","Denmark",0,0,0,0,1240.498,11,7,17
"281",1975,"Ireland","Estonia",0,0,0,0,2005.127,11,7,24
"282",1975,"Ireland","Finland",5,0,0,0,2028.749,6,7,12
"283",1975,"Ireland","France",12,0,0,0,778.2031,1,7,3
"284",1975,"Ireland","Germany",0,0,0,0,920.8693,11,7,4
"285",1975,"Ireland","Greece",0,0,0,0,2855.222,11,7,14
"286",1975,"Ireland","Iceland",0,0,0,0,1499.031,11,7,19
"287",1975,"Ireland","Ireland",-1,0,0,0,99.71606,-1,7,7
"288",1975,"Ireland","Israel",1,0,1,0,4019.906,10,7,13
"289",1975,"Ireland","Italy",6,0,0,0,1887.733,5,7,21
"290",1975,"Ireland","Malta",0,0,1,0,2525.637,11,7,20
"291",1975,"Ireland","Norway",0,0,0,0,1267.015,11,7,5
"292",1975,"Ireland","Portugal",0,0,0,0,1639.821,11,7,9
"293",1975,"Ireland","Slovenia",0,0,0,0,1689.878,11,7,23
"294",1975,"Ireland","Spain",7,0,0,0,1450.236,4,7,1
"295",1975,"Ireland","Sweden",0,0,0,0,1631.147,11,7,6
"296",1975,"Ireland","Switzerland",2,0,0,0,1203.958,9,7,10
"297",1975,"Ireland","The Netherlands",8,0,0,0,756.7269,3,7,11
"298",1975,"Ireland","Turkey",0,0,0,0,2953.092,11,7,15
"299",1975,"Ireland","United Kingdom",3,1,1,1,460.4115,8,7,2
"301",1975,"Israel","Austria",0,0,0,0,2369.546,11,13,16
"302",1975,"Israel","Belgium",0,0,0,0,3245.262,11,13,8
"303",1975,"Israel","Croatia",0,0,0,0,2220.875,11,13,22
"304",1975,"Israel","Cyprus",0,0,0,0,365.6896,11,13,18
"305",1975,"Israel","Denmark",0,0,0,0,3141.281,11,13,17
"306",1975,"Israel","Estonia",0,0,0,0,3132.21,11,13,24
"307",1975,"Israel","Finland",8,0,0,0,3203.884,3,13,12
"308",1975,"Israel","France",7,0,0,0,3281.899,4,13,3
"309",1975,"Israel","Germany",0,0,0,0,3122.905,11,13,4
"310",1975,"Israel","Greece",0,0,0,0,1200.514,11,13,14
"311",1975,"Israel","Iceland",0,0,0,0,5242.824,11,13,19
"312",1975,"Israel","Ireland",0,0,1,0,4019.906,11,13,7
"313",1975,"Israel","Israel",-1,0,0,0,55.30593,-1,13,13
"314",1975,"Israel","Italy",5,0,0,0,2250.53,6,13,21
"315",1975,"Israel","Malta",1,0,1,0,1911.07,10,13,20
"316",1975,"Israel","Norway",0,0,0,0,3567.665,11,13,5
"317",1975,"Israel","Portugal",0,0,0,0,4011.559,11,13,9
"318",1975,"Israel","Slovenia",0,0,0,0,2330.303,11,13,23
"319",1975,"Israel","Spain",4,0,0,0,3546.182,7,13,1
"320",1975,"Israel","Sweden",3,0,0,0,3277.226,8,13,6
"321",1975,"Israel","Switzerland",0,0,0,0,2847.535,11,13,10
"322",1975,"Israel","The Netherlands",12,0,0,0,3296.282,1,13,11
"323",1975,"Israel","Turkey",0,0,0,0,1123.008,11,13,15
"324",1975,"Israel","United Kingdom",10,0,1,1,3561.059,2,13,2
"326",1975,"Italy","Austria",0,1,0,0,767.4132,11,21,16
"327",1975,"Italy","Belgium",0,0,0,0,1174.904,11,21,8
"328",1975,"Italy","Croatia",0,0,0,0,517.0557,11,21,22
"329",1975,"Italy","Cyprus",0,0,0,0,1957.84,11,21,18
"330",1975,"Italy","Denmark",0,0,0,0,1534.086,11,21,17
"331",1975,"Italy","Estonia",0,0,0,0,2126.436,11,21,24
"332",1975,"Italy","Finland",0,0,0,0,2203.158,11,21,12
"333",1975,"Italy","France",8,1,0,0,1109.901,3,21,3
"334",1975,"Italy","Germany",0,0,0,0,1146.023,11,21,4
"335",1975,"Italy","Greece",0,0,0,0,1050.411,11,21,14
"336",1975,"Italy","Iceland",0,0,0,0,3307.978,11,21,19
"337",1975,"Italy","Ireland",4,0,0,0,1887.733,7,21,7
"338",1975,"Italy","Israel",2,0,0,0,2250.53,9,21,13
"339",1975,"Italy","Italy",-1,0,0,0,206.4667,-1,21,21
"340",1975,"Italy","Malta",0,0,0,0,688.7803,11,21,20
"341",1975,"Italy","Norway",7,0,0,0,2010.678,4,21,5
"342",1975,"Italy","Portugal",0,0,0,0,1864.041,11,21,9
"343",1975,"Italy","Slovenia",0,1,0,0,492.3427,11,21,23
"344",1975,"Italy","Spain",6,0,0,0,1366.76,5,21,1
"345",1975,"Italy","Sweden",0,0,0,0,1980.122,11,21,6
"346",1975,"Italy","Switzerland",12,1,1,0,692.6592,1,21,10
"347",1975,"Italy","The Netherlands",1,0,0,0,1297.695,10,21,11
"348",1975,"Italy","Turkey",0,0,0,0,1373.27,11,21,15
"349",1975,"Italy","United Kingdom",3,0,0,0,1438.425,8,21,2
"351",1975,"Malta","Austria",0,0,0,0,1379.07,11,20,16
"352",1975,"Malta","Belgium",0,0,0,0,1851.035,11,20,8
"353",1975,"Malta","Croatia",0,0,0,0,1108.396,11,20,22
"354",1975,"Malta","Cyprus",0,0,0,0,1703.866,11,20,18
"355",1975,"Malta","Denmark",0,0,0,0,2204.997,11,20,17
"356",1975,"Malta","Estonia",0,0,0,0,2719.935,11,20,24
"357",1975,"Malta","Finland",0,0,0,0,2799.607,11,20,12
"358",1975,"Malta","France",7,0,0,0,1752.693,4,20,3
"359",1975,"Malta","Germany",3,0,0,0,1833.687,8,20,4
"360",1975,"Malta","Greece",0,0,0,0,850.6025,11,20,14
"361",1975,"Malta","Iceland",0,0,0,0,3978.502,11,20,19
"362",1975,"Malta","Ireland",4,0,1,0,2525.637,7,20,7
"363",1975,"Malta","Israel",0,0,1,0,1911.07,11,20,13
"364",1975,"Malta","Italy",10,0,0,0,688.7803,2,20,21
"365",1975,"Malta","Malta",-1,0,0,0,6.686169,-1,20,20
"366",1975,"Malta","Norway",0,0,0,0,2686.866,11,20,5
"367",1975,"Malta","Portugal",0,0,0,0,2112.431,11,20,9
"368",1975,"Malta","Slovenia",0,0,0,0,1131.545,11,20,23
"369",1975,"Malta","Spain",0,0,0,0,1670.797,11,20,1
"370",1975,"Malta","Sweden",2,0,0,0,2620.794,9,20,6
"371",1975,"Malta","Switzerland",6,0,0,0,1363.745,5,20,10
"372",1975,"Malta","The Netherlands",12,0,0,0,1981.948,1,20,11
"373",1975,"Malta","Turkey",0,0,0,0,1377.856,11,20,15
"374",1975,"Malta","United Kingdom",8,0,1,1,2092.273,3,20,2
"376",1975,"Norway","Austria",0,0,0,0,1351.699,11,5,16
"377",1975,"Norway","Belgium",0,0,0,0,1087.773,11,5,8
"378",1975,"Norway","Croatia",0,0,0,0,1608.583,11,5,22
"379",1975,"Norway","Cyprus",0,0,0,0,3202.21,11,5,18
"380",1975,"Norway","Denmark",0,0,0,0,485.3148,11,5,17
"381",1975,"Norway","Estonia",0,0,0,0,787.4166,11,5,24
"382",1975,"Norway","Finland",10,1,0,0,791.2361,2,5,12
"383",1975,"Norway","France",0,0,0,0,1342.89,11,5,3
"384",1975,"Norway","Germany",0,0,0,0,969.2816,11,5,4
"385",1975,"Norway","Greece",0,0,0,0,2606.405,11,5,14
"386",1975,"Norway","Iceland",0,0,0,0,1749.596,11,5,19
"387",1975,"Norway","Ireland",4,0,0,0,1267.015,7,5,7
"388",1975,"Norway","Israel",5,0,0,0,3567.665,6,5,13
"389",1975,"Norway","Italy",6,0,0,0,2010.678,5,5,21
"390",1975,"Norway","Malta",2,0,0,0,2686.866,9,5,20
"391",1975,"Norway","Norway",-1,0,0,0,214.0129,-1,5,5
"392",1975,"Norway","Portugal",0,0,0,0,2739.748,11,5,9
"393",1975,"Norway","Slovenia",0,0,0,0,1561.207,11,5,23
"394",1975,"Norway","Spain",3,0,0,0,2390.782,8,5,1
"395",1975,"Norway","Sweden",8,1,0,0,417.5658,3,5,6
"396",1975,"Norway","Switzerland",1,0,0,0,1459.379,10,5,10
"397",1975,"Norway","The Netherlands",12,0,0,0,916.1565,1,5,11
"398",1975,"Norway","Turkey",0,0,0,0,2447.23,11,5,15
"399",1975,"Norway","United Kingdom",7,0,0,0,1157.104,4,5,2
"401",1975,"Portugal","Austria",0,0,0,0,2299.266,11,9,16
